session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
v8jw39uu,45,47ztl1u0,8,wsd_app,DecisionDisagreement,1655115296,1,0,0
v8jw39uu,38,n0kgqe99,9,wsd_app,ResultsDisagreementWaitPage,1655115296,1,0,1
v8jw39uu,40,kmdosfa1,9,wsd_app,ResultsDisagreementWaitPage,1655115296,1,0,1
v8jw39uu,45,47ztl1u0,9,wsd_app,ResultsDisagreementWaitPage,1655115296,1,0,1
v8jw39uu,58,1q2fc52f,1,intro_matcher,Intro,1655115296,1,0,0
v8jw39uu,51,psn8k6zm,2,matcher,FirstWP,1655115296,1,0,1
v8jw39uu,49,alwof86v,2,matcher,FirstWP,1655115296,1,0,1
v8jw39uu,58,1q2fc52f,2,matcher,FirstWP,1655115296,1,0,1
v8jw39uu,27,drll18h9,6,wsd_app,Decision,1655115297,1,0,0
v8jw39uu,47,e6i5hr4i,5,wsd_app,Introduction,1655115297,1,0,0
v8jw39uu,11,tw74rorl,6,wsd_app,Decision,1655115297,1,0,0
v8jw39uu,17,iams0aoo,6,wsd_app,Decision,1655115299,1,1,0
v8jw39uu,17,iams0aoo,7,wsd_app,ResultsWaitPage,1655115299,1,0,1
v8jw39uu,9,ptwqybi2,7,wsd_app,ResultsWaitPage,1655115299,1,0,1
v8jw39uu,16,qle1y5e1,7,wsd_app,ResultsWaitPage,1655115299,1,0,1
v8jw39uu,42,c6hrzzaz,5,wsd_app,Introduction,1655115300,1,0,0
v8jw39uu,45,47ztl1u0,10,wsd_app,Results,1655115302,1,0,0
v8jw39uu,37,yketsy3q,6,wsd_app,Decision,1655115302,1,0,0
v8jw39uu,22,1e9fragw,6,wsd_app,Decision,1655115302,1,0,0
v8jw39uu,32,7yty41jr,7,wsd_app,ResultsWaitPage,1655115302,1,0,1
v8jw39uu,35,17ajo6f1,7,wsd_app,ResultsWaitPage,1655115302,1,0,1
v8jw39uu,22,1e9fragw,7,wsd_app,ResultsWaitPage,1655115302,1,0,1
v8jw39uu,55,s2efj5h6,1,intro_matcher,Intro,1655115303,1,0,0
v8jw39uu,50,u0d5od3g,5,wsd_app,Introduction,1655115303,1,0,0
v8jw39uu,32,7yty41jr,9,wsd_app,ResultsDisagreementWaitPage,1655115303,1,0,1
v8jw39uu,35,17ajo6f1,9,wsd_app,ResultsDisagreementWaitPage,1655115303,1,0,1
v8jw39uu,22,1e9fragw,9,wsd_app,ResultsDisagreementWaitPage,1655115303,1,0,1
v8jw39uu,52,t2sm9gb5,5,wsd_app,Introduction,1655115305,1,0,0
v8jw39uu,46,uxj1cwd9,5,wsd_app,Introduction,1655115305,1,0,0
v8jw39uu,30,sfccokok,5,wsd_app,Introduction,1655115305,1,0,0
v8jw39uu,44,px7fovuk,5,wsd_app,Introduction,1655115305,1,0,0
v8jw39uu,40,kmdosfa1,10,wsd_app,Results,1655115306,1,0,0
v8jw39uu,54,3z2amo0d,1,intro_matcher,Intro,1655115306,1,0,0
v8jw39uu,58,1q2fc52f,3,wsd_app,FirstWP,1655115308,1,0,1
v8jw39uu,51,psn8k6zm,3,wsd_app,FirstWP,1655115308,1,0,1
v8jw39uu,49,alwof86v,3,wsd_app,FirstWP,1655115308,1,0,1
